Publisher
Ubisoft
Electronic  Arts
SEGA
Big Fish Games
Sony
Activision
Nintendo
THQ Inc.
Capcom Co.
Sierra On-Line
BANDAI NAMC
Gameloft S.A.
2K Games
Taito Corporation
Square Enix Co.
Warner Bros. Interactive Entertainment Inc.
Namco Limited
Choice of Games LLC
Harmonix Music Systems
Atari
Codemasters Software Company Limited
SNK Corporation
Hosted Games LLC
Ocean Software Ltd.
Hudson Soft Company
Microsoft Studios
Deep Silver
Strategic Simulations
Acclaim Entertainment
Gremlin Graphics Software Limited
Alawar Entertainment
U.S. Gold Ltd.
Konami Digital Entertainment
Bethesda Softworks LLC
Konami Industry Co. Ltd.
Paradox Interactive AB
Focus Home Interactive SAS
Artifex Mundi sp. z o.o.
SoftSide Magazine
Microsoft Game Studios
Koei Tecmo Games Co.
Brøderbund Software
D3Publisher Inc.
8floor Ltd.
Devolver Digital
KOEI Co.
Mastertronic Ltd.
Gameloft S.E.
GameHouse
Infogrames Europe SA
Firebird Software
Alternative
Square Enix
Sekai Project
Mindscape
Bandai Co.
Psygnosis Limited
Lucas Arts
Telltale
Bigben Interactive S.A.
Headup Games GmbH & Co. KG
Midway Home Entertainment
Konami Co.
Eidos Interactive Limited
Plug In Digital
1C Company
Disney Interactive Studios
Data East Corporation
Capcom U.S.A.
Namco Bandai Games America Inc.
Daedalic Entertainment GmbH
NIS America
Accolade
Microsoft Corporation
Capcom Entertainment
Microïds
Codemasters
Pix  Arts
Namco Bandai Games Inc.
Adventure International
MicroProse Software
Interplay Entertainment Corp.
Strategy First
Square Co.
Team17 Digital Limited
Tecmo
G-mode Co.
LEGO System A/S
Humble Bundle
Virgin Games
Koei Tecmo America Corp.
rondomedia Marketing & Vertriebs GmbH
Square Enix Limited
Atlus Co.
Avalon Hill Game Company
Disney Interactive
Rockstar Games
THQ Nordic GmbH
Jaleco Ltd.
Learning Company
Zeppelin Games Limited
Banpresto Co.
Digerati Distribution & Marketing LLC
Nihon Falcom Corp.
Arc System Works Co.
Sokpop Collective
Infogrames
MicroProse Ltd.
CLOAD Magazine Inc.
Humongous Entertainment
Infocom
MECC
Armor Games Inc.
Konami Digital Entertainment Co.
Knowledge Adventure
Virgin Interactive Entertainment (Europe) Ltd.
Softdisk Publishing
Chillingo Ltd
Curve Digital Publishing Limited
Kairosoft Co.
Konami of America
Scholastic
Loriciels
Kingstill International Software Services Ltd.
Success Corp.
ValuSoft
Zen Stúdió Kft
Aksys Games Localization
Creative Computing Software
tinyBuild LLC
Atlus U.S.A.
Majesco Entertainment Company
Dinamic Software
Hewson Consultants Ltd.
PQube Ltd
3DO Company
CarNGun Private Limited
Hasbro Interactive
Atari Corporation
Laush Studio
505 Games S.R.L.
Buka Entertainment
Forever Entertainment S. A.
Idea Factory Co.
Konami Corporation
Mattel Electronics
Slitherine Ltd.
eGames
Milestone s.r.l.
Midas Interactive Entertainment Ltd.
Natsume
MumboJumbo
Atari Europe S.A.S.U.
Crave Entertainment
NTT Solmare Corporation
Ratalaika Games S.L.
Atari Games Corporation
Interplay Productions
Nippon Ichi Software
Epyx
GT Interactive Software Corp.
Kemco
Philips Interactive Media
PopCap Games
CRL Group PLC
GameTek
L.K. Avalon
Melbourne House
Code Works
dtp entertainment AG
Elite Systems Ltd.
Empire Interactive Europe Ltd.
Kingsoft GmbH
Eidos
magnussoft Deutschland GmbH
Enix Corporation
PlayWay S.A.
Rainbow  Arts
Glu Mobile
Namco Hometek Inc.
ASCII Corporation
Atlantis Software Limited
Blizzard Entertainment Inc.
Sprakelsoft GmbH
Tiny Games S.r.l.
United Independent Entertainment GmbH
PlayFirst
Sierra Entertainment
5pb. Inc.
Budgie UK
ORIGIN Systems
Adult Swim
Bulkypix
Cartoon Network
MangaGamer.com
Cocoplay Limited
Irem Corp.
Full Fat Productions Ltd.
Tynesoft Computer Software
Players Software
Handy-Games GmbH
Tin Man Games Pty. Ltd.
Davidson & Associates
Human Entertainment
Ravenscourt
Sunburst Communications Inc.
Budge Studios Inc.
DreamCatcher Interactive Inc.
Playism
Micro Cabin Corp.
Playtouch Ltd
Purple Hills
Starbyte Software
D3Publisher of America
Take-Two Interactive Software
Tandy Corporation
Vivendi Universal Games
Disney Mobile
GameMill Entertainment LLC
JoWooD Productions Software AG
Kalypso Media Digital Ltd.
Opera Soft S.A.
Pogo.com
HAMSTER Corporation
Crescent Moon Games LLC
Eidos Interactive
Domark Software Ltd.
Empire Interactive Entertainment
Simon & Schuster Interactive
Taito America Corporation
Team17 Software Limited
Alice Soft
Aspyr Media
astragon Software GmbH
Nacon S.A.
Personal Software Services
Asmodee Digital SA
Miniclip Limited
Nitrome Ltd.
JetDogs Studios Oy
MicroDeal Ltd.
Viva Media
Degica Co.
For Kids
Infogrames Multimedia SA
Loriciel SA
Akella
HexWar Games Ltd.
Apogee Software
FromSoftware
People's Computer Company
Iceberg Interactive B.V.
SNK Playmore Corporation
Artdink Corporation
Atari Interactive
Masaya
Quicksilva Ltd.
Softgold Computerspiele GmbH
Playrix LLC
APX
Noodlecake Studios Inc.
Raw Fury AB
Titus France SA
Versus Evil LLC
Elf Co.
Technos Japan Corp.
Domark Limited
Eastasiasoft Limited
Outfit7 Limited
Outright Games Ltd.
Topo Soft
Gathering of Developers
Winter Wolves Studio
Adventure Company
FarSight Technologies Inc.
KID Corp.
Mastertronic Group Ltd.
Merge Games Ltd.
Sirius Software
Software 2000
Distinctive Developments Ltd.
Play With Games Ltd.
Rainbird Software
Reflexive Entertainment Inc.
Virgin Interactive Entertainment
BoomBit
Konami
Mirage Software
Rebellion Developments Ltd.
Spectrum Holobyte
Superior Software Ltd.
Artworx Software Company
Global Star Software Inc.
Gremlin Interactive Limited
Kotobuki Solution Co.
Mirrorsoft Ltd.
Valve Corporation
ak tronic Software & Services GmbH
Anuman Interactive SA
Cybele
Dagestan Technology
Real Networks
SOEDESCO B.V.
Cryo Interactive Entertainment
Inlogic Games s.r.o
M.A.D.
